name_from_conSiteData,name_from_demSiteData
aluminium,aluminium
brick,brick
cement_cover-floor,concrete
concrete_in-situ,concrete
concrete_prefab,concrete
furnishing_stone,other
glass,glass
gravel_sand,concrete
gypsum,other
isolation,insulation
plastic,plastic
rubber,other
steel,steel
timber,timber
modules,modules
